Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
440," Bishop, NM Nasrabadi",Pattern recognition and machine learning,65423,2006, Springer,,https://link.springer.com/book/9780387310732,3635
410, Murphy,Machine learning: a probabilistic perspective,13922,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=RC43AgAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=umou8zRxZ6&sig=Yt4k1SbH83Yoaefkx6C0lzerP6c,1160
20," Jordan, TM Mitchell","Machine learning: Trends, perspectives, and prospects",6373,2015, science.org, Science,https://www.science.org/doi/abs/10.1126/science.aaa8415,708
240,Shale,Understanding machine learning: From theory to algorithms,6371,2014, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Hf6QAwAAQBAJ&oi=fnd&pg=PR15&dq=machine+learning&ots=2IyfLknQK-&sig=0FaXB-Y1uBej-f0TGukldQjCjqQ,637
200,"Mohri, A Rostamizadeh, A Talwalkar",Foundations of machine learning,5377,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=dWB9DwAAQBAJ&oi=fnd&pg=PR5&dq=machine+learning&ots=AywPTRw5j5&sig=gDH_EE9DckSxR1-ldLaeBzpnP2c,896
480, King,Dlib-ml: A machine learning toolkit,3556,2009, jmlr.org, The Journal of Machine Learning Research,https://www.jmlr.org/papers/volume10/king09a/king09a.pdf,237
460," Butler, DW Davies, H Cartwright, O Isayev, A Walsh",Machine learning for molecular and materials science,2542,2018, nature.com, Nature,https://www.nature.com/articles/s41586-018-0337-2,424
380, Dietterich,Machine-learning research,2121,1997, ojs.aaai.org, AI magazine,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/1324,79
130,"Sammut, GI Webb",Encyclopedia of machine learning,1877,2011, books.google.com,,https://books.google.com/books?hl=en&lr=&id=i8hQhp1a62UC&oi=fnd&pg=PT29&dq=machine+learning&ots=91r7wtiH6Q&sig=AHa5z1TSiO_oCiGOL7GKIcbmzLc,144
340," Liakos, P Busato, D Moshou, S Pearson, D Bochtis",Machine learning in agriculture: A review,1831,2018, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/18/8/2674,305
280,"Carleo, I Cirac, K Cranmer, L Daudet, M Schuld…",Machine learning and the physical sciences,1655,2019, APS, Reviews of Modern …,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002,331
60,"Wang, Z Lei, X Zhang, B Zhou, J Peng",Machine learning basics,1619,2016, whdeng.cn, Deep learning,http://whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf,202
10, Zhou,Machine learning,1613,2021, books.google.com,,https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=machine+learning&ots=oZRhS3WzYs&sig=eYf8c9ZHOUx0vYceVoUcNWlnUWE,538
30,Mahesh,Machine learning algorithms-a review,1455,2020, researchgate.net, International Journal of Science and Research (IJSR) …,https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf?eid=5082902844932096,364
310,Raschka,Python machine learning,1369,2015, books.google.com,,https://books.google.com/books?hl=en&lr=&id=GOVOCwAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=NdgvGcWXUE&sig=zcVIzg9Fr4KP4eRtU0FRKjO75CI,152
140,Harrington,Machine learning in action,1205,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=XTozEAAAQBAJ&oi=fnd&pg=PT18&dq=machine+learning&ots=pw4cI3NRbp&sig=BJiIhWUSg-CH6QVNLCTuqB8ksXA,100
260,Langley,Elements of machine learning,942,1996, books.google.com,,https://books.google.com/books?hl=en&lr=&id=TNg5qVoqRtUC&oi=fnd&pg=PR9&dq=machine+learning&ots=Q4tmWtv1Kj&sig=uD85WO3spUWAJLb5uNXTgkru0HY,34
150,"Sra, S Nowozin, SJ Wright",Optimization for machine learning,890,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=JPQx7s2L1A8C&oi=fnd&pg=PR5&dq=machine+learning&ots=vel6ugncBg&sig=G8Jv0hOnac1oGD8BLAupTCG_IxU,74
300, Mitchell,The discipline of machine learning,885,2006, cs.cmu.edu,,https://www.cs.cmu.edu/afs/cs/usr/mitchell/ftp/pubs/MachineLearningTR.pdf,49
220, Ayodele,Types of machine learning algorithms,867,2010, books.google.com, New advances in machine learning,https://books.google.com/books?hl=en&lr=&id=XAqhDwAAQBAJ&oi=fnd&pg=PA19&dq=machine+learning&ots=r2Oi6UDmIk&sig=vyuLuQXQG82JB1PKGDbfNPwjPAA,62
40,"El Naqa, MJ Murphy",What is machine learning?,861,2015, Springer,,https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1,96
190,Burkov,The hundred-page machine learning book,781,0,papers.com,,https://order-papers.com/sites/default/files/tmp/webform/order_download/pdf-the-hundred-page-machine-learning-book-andriy-burkov-pdf-download-free-book-d835289.pdf,0
160,Athey,The impact of machine learning on economics,750,2018, nber.org, The economics of artificial intelligence: An agenda,https://www.nber.org/system/files/chapters/c14009/c14009.pdf,125
350,"Janiesch, P Zschech, K Heinrich",Machine learning and deep learning,750,2021, Springer, Electronic Markets,https://link.springer.com/article/10.1007/s12525-021-00475-2,250
370," Tarca, VJ Carey, X Chen, R Romero…",Machine learning and its applications to biology,689,2007, journals.plos.org, PLoS computational …,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030116,41
230,Surden,Machine learning and law,650,2014, HeinOnline, Wash. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/washlr89&section=7,65
470,Ray,A quick review of machine learning algorithms,606,2019, ieeexplore.ieee.org, 2019 International conference on machine learning …,https://ieeexplore.ieee.org/abstract/document/8862451/,121
360,"Mohammed, MB Khan, EBM Bashier",Machine learning: algorithms and applications,578,2016, books.google.com,,https://books.google.com/books?hl=en&lr=&id=X8LBDAAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=qQHqwrKdxD&sig=WLSpodFeOX3K5XdZ39bXnsYztuk,72
